family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
graph,dense,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,dense,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.02,0.019999999999999993,0.0,dense
graph,dense,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,dense
graph,sparse,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,5.52,0.4564637813380919,0.0,sparse
graph,sparse,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,3.36,0.3365612416600508,0.0,sparse
graph,sparse,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,5.8,0.47294129592133854,0.0,sparse
graph,sparse,off50_on50,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,6.82,0.49213404512119147,0.0,sparse
graph,sparse,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,3.96,0.4040206096985951,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,3.92,0.37562464981816673,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,3.42,0.3615047915114187,0.0,sparse
graph,sparse,off50_on50,UtilizationPriced+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,4.22,0.377196965815485,0.0,sparse
