family_base,knob_variant,ratio_variant,pipeline,runs_total_x,infeasible_runs_x,feasible_runs_x,fallback_mean,fallback_sem,infeasible_rate_x,runs_total_y,infeasible_runs_y,feasible_runs_y,penalty_mean,penalty_sem,infeasible_rate_y,_x
load,overload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,105.58,0.2442648278456171,0.0,50,0,50,9.46,0.3582383199457465,0.0,overload
load,overload,off50_on50,MILP(offSlack)+DynamicLearning,50,1,49,106.6938775510204,0.2086645291899223,0.02,50,1,49,11.10204081632653,0.38159718267990117,0.02,overload
load,overload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,106.1,0.29172254080945903,0.0,50,0,50,10.64,0.4640197040151266,0.0,overload
load,overload,off50_on50,MILP+CostAwareBestFit,50,7,43,103.0,0.23294541397390264,0.14,50,7,43,110.86046511627907,0.496478624665295,0.14,overload
load,overload,off50_on50,MILP+DynamicLearning,50,21,29,108.03448275862068,0.33100369314940575,0.42,50,21,29,120.0,0.6858887298634485,0.42,overload
load,overload,off50_on50,MILP+PrimalDual,50,30,20,109.85,0.49351051820497943,0.6,50,30,20,124.7,1.405066022048711,0.6,overload
load,overload,off50_on50,UtilizationPriced+CostAwareBestFit,50,1,49,102.63265306122449,0.23089201018336244,0.02,50,1,49,109.48979591836735,0.442359983016641,0.02,overload
load,overload,off50_on50,UtilizationPriced+DynamicLearning,50,16,34,107.67647058823529,0.4442554472150042,0.32,50,16,34,120.67647058823529,0.8409321161359168,0.32,overload
load,underload,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,MILP+PrimalDual,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
load,underload,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,0.0,0.0,0.0,50,0,50,0.0,0.0,0.0,underload
