family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
baseline,midvar,off0_on100,CostAwareBFD+CostAwareBestFit,10,2,8,1.006325771420723,0.0022037990125255693,0.2,0.6325771420722992,0.22037990125255694,off0_on100
baseline,midvar,off0_on100,MILP+CostAwareBestFit,10,2,8,1.006325771420723,0.0022037990125255693,0.2,0.6325771420722992,0.22037990125255694,off0_on100
baseline,midvar,off0_on100,MILP+DynamicLearning,10,3,7,1.0189636293926485,0.0027078108106174093,0.3,1.8963629392648507,0.2707810810617409,off0_on100
baseline,midvar,off0_on100,MILP+PrimalDual,10,2,8,1.010880908657637,0.001566043723093691,0.2,1.0880908657636912,0.1566043723093691,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+CostAwareBestFit,10,2,8,1.006325771420723,0.0022037990125255693,0.2,0.6325771420722992,0.22037990125255694,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+DynamicLearning,10,3,7,1.0189636293926485,0.0027078108106174093,0.3,1.8963629392648507,0.2707810810617409,off0_on100
baseline,midvar,off0_on100,UtilizationPriced+PrimalDual,10,2,8,1.010880908657637,0.001566043723093691,0.2,1.0880908657636912,0.1566043723093691,off0_on100
baseline,midvar,off20_on80,CostAwareBFD+CostAwareBestFit,10,0,10,1.0142375587134924,0.004028259890656878,0.0,1.4237558713492415,0.40282598906568784,off20_on80
baseline,midvar,off20_on80,MILP+CostAwareBestFit,10,0,10,1.0142375587134924,0.004028259890656875,0.0,1.4237558713492415,0.4028259890656875,off20_on80
baseline,midvar,off20_on80,MILP+DynamicLearning,10,0,10,1.0211782673575331,0.0025077659395610834,0.0,2.1178267357533143,0.25077659395610835,off20_on80
baseline,midvar,off20_on80,MILP+PrimalDual,10,0,10,1.0179267617042513,0.005200397242905125,0.0,1.7926761704251337,0.5200397242905125,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+CostAwareBestFit,10,0,10,1.013873607325407,0.004068435692965906,0.0,1.38736073254071,0.40684356929659055,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+DynamicLearning,10,0,10,1.021930968477831,0.0022553277298318387,0.0,2.1930968477831048,0.22553277298318386,off20_on80
baseline,midvar,off20_on80,UtilizationPriced+PrimalDual,10,0,10,1.017848750844704,0.004994028208105294,0.0,1.7848750844704053,0.49940282081052934,off20_on80
baseline,midvar,off50_on50,CostAwareBFD+CostAwareBestFit,10,0,10,1.0181709920622057,0.004679243639409993,0.0,1.8170992062205737,0.46792436394099934,off50_on50
baseline,midvar,off50_on50,MILP+CostAwareBestFit,10,0,10,1.0181709920622057,0.004679243639409977,0.0,1.8170992062205737,0.4679243639409977,off50_on50
baseline,midvar,off50_on50,MILP+DynamicLearning,10,0,10,1.0196730706455293,0.0035268428400529995,0.0,1.9673070645529256,0.35268428400529994,off50_on50
baseline,midvar,off50_on50,MILP+PrimalDual,10,0,10,1.0258488904472243,0.00494180947172337,0.0,2.584889044722427,0.49418094717233696,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+CostAwareBestFit,10,0,10,1.0122808258125546,0.004141926556602307,0.0,1.228082581255463,0.4141926556602307,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+DynamicLearning,10,0,10,1.018994486957983,0.0039022263002167126,0.0,1.8994486957983003,0.39022263002167124,off50_on50
baseline,midvar,off50_on50,UtilizationPriced+PrimalDual,10,0,10,1.0126289858205415,0.0038083753829675398,0.0,1.2628985820541505,0.380837538296754,off50_on50
baseline,midvar,off80_on20,CostAwareBFD+CostAwareBestFit,10,0,10,1.0164016164106084,0.0053906501551607075,0.0,1.6401616410608444,0.5390650155160708,off80_on20
baseline,midvar,off80_on20,MILP+CostAwareBestFit,10,0,10,1.0164016164106084,0.005390650155160681,0.0,1.6401616410608444,0.5390650155160681,off80_on20
baseline,midvar,off80_on20,MILP+DynamicLearning,10,0,10,1.0196058085592434,0.0068663064867854305,0.0,1.9605808559243432,0.6866306486785431,off80_on20
baseline,midvar,off80_on20,MILP+PrimalDual,10,0,10,1.0256052968637623,0.010066329886522141,0.0,2.560529686376234,1.006632988652214,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+CostAwareBestFit,10,0,10,1.002323279755268,0.0006401078390804357,0.0,0.23232797552679152,0.06401078390804357,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+DynamicLearning,10,0,10,1.0114002632513337,0.002615049948182326,0.0,1.1400263251333698,0.2615049948182326,off80_on20
baseline,midvar,off80_on20,UtilizationPriced+PrimalDual,10,0,10,1.0026384083075643,0.0007478099039547454,0.0,0.2638408307564344,0.07478099039547453,off80_on20
