family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
graph,dense,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.0084645442437397,0.001649167102276057,0.0,0.8464544243739658,0.1649167102276057,dense
graph,dense,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.0251283514633274,0.0016126133296487303,0.0,2.512835146332737,0.16126133296487302,dense
graph,dense,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.0103453143075252,0.0018491587296513598,0.0,1.0345314307525166,0.18491587296513598,dense
graph,dense,off50_on50,MILP+CostAwareBestFit,50,0,50,1.0063590779084965,0.001762375560194133,0.0,0.6359077908496547,0.17623755601941332,dense
graph,dense,off50_on50,MILP+DynamicLearning,50,0,50,1.0214094416648452,0.0017053077090337541,0.0,2.1409441664845152,0.1705307709033754,dense
graph,dense,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0076610542840134,0.0015179263372193887,0.0,0.7661054284013424,0.15179263372193885,dense
graph,dense,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,1.0263084301589809,0.0017016022874603394,0.0,2.6308430158980878,0.17016022874603393,dense
graph,dense,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.0085797671714132,0.0015789355225505248,0.0,0.8579767171413177,0.15789355225505247,dense
graph,sparse,off50_on50,MILP(offSlack)+CostAwareBestFit,50,0,50,1.1285568559222312,0.010302521681775308,0.0,12.855685592223121,1.0302521681775307,sparse
graph,sparse,off50_on50,MILP(offSlack)+DynamicLearning,50,0,50,1.1258773201627827,0.00790249639271631,0.0,12.587732016278274,0.7902496392716309,sparse
graph,sparse,off50_on50,MILP(offSlack)+PrimalDual,50,0,50,1.1383602763748442,0.010461336201079766,0.0,13.836027637484417,1.0461336201079765,sparse
graph,sparse,off50_on50,MILP+CostAwareBestFit,50,0,50,1.1545768979246447,0.0114856763784066,0.0,15.457689792464468,1.14856763784066,sparse
graph,sparse,off50_on50,MILP+DynamicLearning,50,0,50,1.1340473883116169,0.00931854248057656,0.0,13.404738831161689,0.931854248057656,sparse
graph,sparse,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.094476248968739,0.007969717657887032,0.0,9.447624896873897,0.7969717657887032,sparse
graph,sparse,off50_on50,UtilizationPriced+DynamicLearning,50,0,50,1.1266829638793987,0.008153717036793616,0.0,12.66829638793987,0.8153717036793616,sparse
graph,sparse,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.103423189136243,0.007877819658067239,0.0,10.342318913624293,0.7877819658067239,sparse
