family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
load,overload,off20_on80,CostAwareBFD+CostAwareBestFit,50,1,49,1.4503666396316122,0.006228353191901436,0.02,45.03666396316122,0.6228353191901437,overload
load,overload,off20_on80,MILP+CostAwareBestFit,50,1,49,1.4503666396316122,0.006228353191901436,0.02,45.03666396316122,0.6228353191901437,overload
load,overload,off20_on80,MILP+DynamicLearning,50,0,50,1.494052083934283,0.007193679287735136,0.0,49.4052083934283,0.7193679287735135,overload
load,overload,off20_on80,MILP+PrimalDual,50,1,49,1.480683828232016,0.00701655022104531,0.02,48.0683828232016,0.701655022104531,overload
load,overload,off20_on80,UtilizationPriced+CostAwareBestFit,50,1,49,1.442135407099424,0.0070245680354780226,0.02,44.21354070994239,0.7024568035478023,overload
load,overload,off20_on80,UtilizationPriced+DynamicLearning,50,0,50,1.4893871059370676,0.007023178118410641,0.0,48.93871059370676,0.7023178118410641,overload
load,overload,off20_on80,UtilizationPriced+PrimalDual,50,1,49,1.4826438076724278,0.00752201262153085,0.02,48.26438076724278,0.752201262153085,overload
load,underload,off20_on80,CostAwareBFD+CostAwareBestFit,50,0,50,1.0005126157994189,0.0005171395475800154,0.0,0.05126157994188585,0.05171395475800154,underload
load,underload,off20_on80,MILP+CostAwareBestFit,50,0,50,1.0005126157994189,0.000517139547580011,0.0,0.05126157994188585,0.0517139547580011,underload
load,underload,off20_on80,MILP+DynamicLearning,50,0,50,1.007241828358227,0.0007856032736338101,0.0,0.7241828358226954,0.078560327363381,underload
load,underload,off20_on80,MILP+PrimalDual,50,0,50,1.0007190441740212,0.0005173196283839396,0.0,0.07190441740212439,0.051731962838393965,underload
load,underload,off20_on80,UtilizationPriced+CostAwareBestFit,50,0,50,1.0000503591741157,0.0002252240090660596,0.0,0.005035917411566615,0.022522400906605962,underload
load,underload,off20_on80,UtilizationPriced+DynamicLearning,50,0,50,1.0071782612212636,0.000773105228616973,0.0,0.7178261221263638,0.07731052286169729,underload
load,underload,off20_on80,UtilizationPriced+PrimalDual,50,0,50,1.0002469204853897,0.00022992066467919227,0.0,0.024692048538965672,0.022992066467919226,underload
