pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,off0_on100,0,85.96816598177021,1.492813660378544,50
MILP(offSlack)+CostAwareBestFit,off0_on100,1,87.32595610884852,1.418761616768528,50
MILP(offSlack)+CostAwareBestFit,off0_on100,2,84.04749871874623,1.5075693185720185,50
MILP(offSlack)+CostAwareBestFit,off0_on100,3,86.83743107905988,1.3492984431414223,50
MILP(offSlack)+CostAwareBestFit,off0_on100,4,84.06371460241057,1.5720232602402318,50
MILP(offSlack)+CostAwareBestFit,off0_on100,5,88.08629665606063,1.2633358125076728,50
MILP(offSlack)+CostAwareBestFit,off0_on100,6,86.58224909493205,1.255624734409647,50
MILP(offSlack)+CostAwareBestFit,off0_on100,7,86.01107878175596,1.3634054860857878,50
MILP(offSlack)+CostAwareBestFit,off0_on100,8,86.77651076790963,1.363920172919016,50
MILP(offSlack)+CostAwareBestFit,off0_on100,9,87.85676023444336,1.3830787960646145,50
MILP(offSlack)+CostAwareBestFit,off0_on100,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,off20_on80,0,89.51221054258409,1.1193812094591598,50
MILP(offSlack)+CostAwareBestFit,off20_on80,1,88.34407199403579,1.2635842356316618,50
MILP(offSlack)+CostAwareBestFit,off20_on80,2,87.48738410101245,1.2532230751358802,50
MILP(offSlack)+CostAwareBestFit,off20_on80,3,83.95512948352065,1.5497817707721928,50
MILP(offSlack)+CostAwareBestFit,off20_on80,4,88.90073466186097,1.1921262082542543,50
MILP(offSlack)+CostAwareBestFit,off20_on80,5,89.13949721612553,1.2457316441515371,50
MILP(offSlack)+CostAwareBestFit,off20_on80,6,88.08302605193077,1.0581274480225549,50
MILP(offSlack)+CostAwareBestFit,off20_on80,7,89.33222136797207,1.0013800652141207,50
MILP(offSlack)+CostAwareBestFit,off20_on80,8,87.09595852739527,1.2819860467250799,50
MILP(offSlack)+CostAwareBestFit,off20_on80,9,86.66740635060836,1.6524152257391442,50
MILP(offSlack)+CostAwareBestFit,off20_on80,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,off40_on60,0,86.91025739018993,1.2817295116102698,50
MILP(offSlack)+CostAwareBestFit,off40_on60,1,88.96386713920867,1.1444186382029993,50
MILP(offSlack)+CostAwareBestFit,off40_on60,2,87.24017968144568,1.5008165119006824,50
MILP(offSlack)+CostAwareBestFit,off40_on60,3,88.52930664347383,1.1093335652281089,50
MILP(offSlack)+CostAwareBestFit,off40_on60,4,87.15798588674228,1.283825328295761,50
MILP(offSlack)+CostAwareBestFit,off40_on60,5,88.53513773038641,1.2100213519873213,50
MILP(offSlack)+CostAwareBestFit,off40_on60,6,86.11299323630816,1.253905430633393,50
MILP(offSlack)+CostAwareBestFit,off40_on60,7,89.34987266436771,0.9153632696936181,50
MILP(offSlack)+CostAwareBestFit,off40_on60,8,86.97016398564269,1.1967641937882005,50
MILP(offSlack)+CostAwareBestFit,off40_on60,9,88.13420484590569,1.0832820952867785,50
MILP(offSlack)+CostAwareBestFit,off40_on60,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,off50_on50,0,90.06799473556495,0.8721130839986414,50
MILP(offSlack)+CostAwareBestFit,off50_on50,1,89.03933827542865,1.095500327648142,50
MILP(offSlack)+CostAwareBestFit,off50_on50,2,87.68553295108951,1.1775206623395826,50
MILP(offSlack)+CostAwareBestFit,off50_on50,3,86.7911294865015,1.32745745818792,50
MILP(offSlack)+CostAwareBestFit,off50_on50,4,87.53936439614674,1.1167937484048553,50
MILP(offSlack)+CostAwareBestFit,off50_on50,5,85.65571666971923,1.2055497854192712,50
MILP(offSlack)+CostAwareBestFit,off50_on50,6,86.11682993600914,1.5306861816003323,50
MILP(offSlack)+CostAwareBestFit,off50_on50,7,86.6201462425884,1.4349918427639279,50
MILP(offSlack)+CostAwareBestFit,off50_on50,8,87.98543449422998,1.225630639084424,50
