pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,dense,0,88.77264972920904,1.0657894147567184,50
MILP(offSlack)+CostAwareBestFit,dense,1,90.674091641139,1.0051672389424304,50
MILP(offSlack)+CostAwareBestFit,dense,2,88.25778054199249,1.0526305749631408,50
MILP(offSlack)+CostAwareBestFit,dense,3,87.25003915714545,1.1298989739530447,50
MILP(offSlack)+CostAwareBestFit,dense,4,89.18634784318289,0.9618708741563531,50
MILP(offSlack)+CostAwareBestFit,dense,5,85.00477530225227,1.4346979118243401,50
MILP(offSlack)+CostAwareBestFit,dense,6,85.63283830955795,1.2543578881864514,50
MILP(offSlack)+CostAwareBestFit,dense,7,86.00279504343034,1.4095951186273263,50
MILP(offSlack)+CostAwareBestFit,dense,8,88.63016052190592,1.0187049005565498,50
MILP(offSlack)+CostAwareBestFit,dense,9,89.27670284469293,1.1271286046586415,50
MILP(offSlack)+CostAwareBestFit,dense,10,0.0,0.0,50
MILP(offSlack)+CostAwareBestFit,sparse,0,87.30754184821372,1.0564070894155133,50
MILP(offSlack)+CostAwareBestFit,sparse,1,89.06165113989636,1.2099745032494724,50
MILP(offSlack)+CostAwareBestFit,sparse,2,87.84879210100047,1.2425995882688596,50
MILP(offSlack)+CostAwareBestFit,sparse,3,88.04957918310991,1.3053182074727538,50
MILP(offSlack)+CostAwareBestFit,sparse,4,87.18126152384126,1.1624215043854933,50
MILP(offSlack)+CostAwareBestFit,sparse,5,86.33964847794512,1.1151276440087554,50
MILP(offSlack)+CostAwareBestFit,sparse,6,86.0116940869223,1.4649056372557814,50
MILP(offSlack)+CostAwareBestFit,sparse,7,87.03718853994336,1.1388219649497981,50
MILP(offSlack)+CostAwareBestFit,sparse,8,89.29761264854915,0.9306650719610843,50
MILP(offSlack)+CostAwareBestFit,sparse,9,91.08426443788754,1.0561846644346147,50
MILP(offSlack)+CostAwareBestFit,sparse,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,dense,0,86.9597965117726,1.037078973859747,50
MILP(offSlack)+DynamicLearning,dense,1,89.11375235694679,1.0820644835717397,50
MILP(offSlack)+DynamicLearning,dense,2,88.71518444482837,1.176083977421704,50
MILP(offSlack)+DynamicLearning,dense,3,89.27759201022805,1.0837648771133814,50
MILP(offSlack)+DynamicLearning,dense,4,88.37652342633505,0.8866583527791553,50
MILP(offSlack)+DynamicLearning,dense,5,85.20338455548466,1.2880978767846993,50
MILP(offSlack)+DynamicLearning,dense,6,87.38405919724539,1.0665098501138606,50
MILP(offSlack)+DynamicLearning,dense,7,90.76528924390819,0.9502231229512951,50
MILP(offSlack)+DynamicLearning,dense,8,86.79814740347626,1.3470449183315836,50
MILP(offSlack)+DynamicLearning,dense,9,88.70011718244153,1.050115634487146,50
MILP(offSlack)+DynamicLearning,dense,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,sparse,0,88.22828247182252,0.9494593116286355,50
