pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,overload,0,94.03547393557741,0.3841646962419246,50
MILP(offSlack)+CostAwareBestFit,overload,1,93.54598102146751,0.4934496340948629,50
MILP(offSlack)+CostAwareBestFit,overload,2,93.46465369016514,0.4232506453169466,50
MILP(offSlack)+CostAwareBestFit,overload,3,92.95467850270448,0.43970254278884174,50
MILP(offSlack)+CostAwareBestFit,overload,4,93.80731327071491,0.3482228799095182,50
MILP(offSlack)+CostAwareBestFit,overload,5,93.02003869052197,0.4834034881175619,50
MILP(offSlack)+CostAwareBestFit,overload,6,93.6940863638908,0.3808862952037967,50
MILP(offSlack)+CostAwareBestFit,overload,7,94.04921373702877,0.398515176146744,50
MILP(offSlack)+CostAwareBestFit,overload,8,93.2584299468942,0.39156608363326456,50
MILP(offSlack)+CostAwareBestFit,overload,9,94.07060786874943,0.4888443299409929,50
MILP(offSlack)+CostAwareBestFit,overload,10,546.0424838728388,1.3478103992911772,50
MILP(offSlack)+CostAwareBestFit,underload,0,66.50994133907876,1.184109778885247,50
MILP(offSlack)+CostAwareBestFit,underload,1,68.0224679282871,1.6118558971008103,50
MILP(offSlack)+CostAwareBestFit,underload,2,65.72900766945858,1.7024626161198368,50
MILP(offSlack)+CostAwareBestFit,underload,3,63.61715456418093,1.52725447183753,50
MILP(offSlack)+CostAwareBestFit,underload,4,65.89755234501641,1.648896711624977,50
MILP(offSlack)+CostAwareBestFit,underload,5,62.97207206337494,1.3673912333749734,50
MILP(offSlack)+CostAwareBestFit,underload,6,63.97001662836806,1.7397396582943327,50
MILP(offSlack)+CostAwareBestFit,underload,7,64.73846863391555,1.795016537469449,50
MILP(offSlack)+CostAwareBestFit,underload,8,67.63041201400881,1.6506962582251896,50
MILP(offSlack)+CostAwareBestFit,underload,9,70.0658383429352,1.5366922358972925,50
MILP(offSlack)+CostAwareBestFit,underload,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,overload,0,91.41165477523693,0.637344997190848,50
MILP(offSlack)+DynamicLearning,overload,1,93.06734742724215,0.5019816043447797,50
MILP(offSlack)+DynamicLearning,overload,2,93.01821180595334,0.49988879944871784,50
MILP(offSlack)+DynamicLearning,overload,3,92.40073200542496,0.4016659849374932,50
MILP(offSlack)+DynamicLearning,overload,4,92.84912951651322,0.5529861816220635,50
MILP(offSlack)+DynamicLearning,overload,5,91.89358981630012,0.49879415872874,50
MILP(offSlack)+DynamicLearning,overload,6,92.8219533654682,0.5356956273914445,50
MILP(offSlack)+DynamicLearning,overload,7,93.18986530893417,0.493001788752156,50
MILP(offSlack)+DynamicLearning,overload,8,91.9273297916765,0.4248978295585185,50
MILP(offSlack)+DynamicLearning,overload,9,93.51408428825813,0.4876238001699399,50
MILP(offSlack)+DynamicLearning,overload,10,550.8518257259589,1.3569397389370752,50
MILP(offSlack)+DynamicLearning,underload,0,66.71011952971031,1.1359625636282056,50
MILP(offSlack)+DynamicLearning,underload,1,66.98352901848149,1.5953046925402679,50
MILP(offSlack)+DynamicLearning,underload,2,65.98484328477738,1.5424071917238353,50
MILP(offSlack)+DynamicLearning,underload,3,63.98058956578345,1.3759110142048654,50
MILP(offSlack)+DynamicLearning,underload,4,66.20923095603825,1.5689243108961002,50
MILP(offSlack)+DynamicLearning,underload,5,63.46957979810392,1.4077548952764636,50
MILP(offSlack)+DynamicLearning,underload,6,63.689026685568145,1.7123869513658638,50
MILP(offSlack)+DynamicLearning,underload,7,65.0572365949281,1.7954629085383644,50
MILP(offSlack)+DynamicLearning,underload,8,67.63407430507088,1.587254720616527,50
MILP(offSlack)+DynamicLearning,underload,9,69.56340330324734,1.412439316684106,50
MILP(offSlack)+DynamicLearning,underload,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,overload,0,93.13109368788636,0.40966903132932936,50
MILP(offSlack)+PrimalDual,overload,1,92.92758807358548,0.5516785205472221,50
MILP(offSlack)+PrimalDual,overload,2,92.48305496309584,0.5368284309196736,50
MILP(offSlack)+PrimalDual,overload,3,93.6565313668701,0.42055909882740966,50
MILP(offSlack)+PrimalDual,overload,4,93.04088998537927,0.4778395846121935,50
MILP(offSlack)+PrimalDual,overload,5,93.86266212063433,0.4495713864473221,50
MILP(offSlack)+PrimalDual,overload,6,93.24565157463836,0.5351107594696002,50
MILP(offSlack)+PrimalDual,overload,7,92.73800227150434,0.4818136627522493,50
MILP(offSlack)+PrimalDual,overload,8,92.89266931150219,0.38633204850928143,50
MILP(offSlack)+PrimalDual,overload,9,93.23838045534531,0.44742555595854555,50
MILP(offSlack)+PrimalDual,overload,10,547.7316699761212,1.6241675417456984,50
MILP(offSlack)+PrimalDual,underload,0,66.50994133907876,1.184109778885247,50
MILP(offSlack)+PrimalDual,underload,1,68.0224679282871,1.6118558971008106,50
MILP(offSlack)+PrimalDual,underload,2,65.76827469914333,1.70723133467057,50
MILP(offSlack)+PrimalDual,underload,3,63.61715456418093,1.52725447183753,50
MILP(offSlack)+PrimalDual,underload,4,65.85487521570695,1.6498000528390486,50
MILP(offSlack)+PrimalDual,underload,5,62.97207206337494,1.3673912333749734,50
MILP(offSlack)+PrimalDual,underload,6,63.97001662836806,1.7397396582943325,50
MILP(offSlack)+PrimalDual,underload,7,64.73846863391555,1.795016537469449,50
MILP(offSlack)+PrimalDual,underload,8,67.63041201400881,1.6506962582251896,50
MILP(offSlack)+PrimalDual,underload,9,70.0658383429352,1.5366922358972925,50
MILP(offSlack)+PrimalDual,underload,10,0.0,0.0,50
MILP+CostAwareBestFit,overload,0,94.41953989146702,0.4294264906256804,50
MILP+CostAwareBestFit,overload,1,94.67685592685443,0.47300327284774374,50
MILP+CostAwareBestFit,overload,2,94.81073406005697,0.41645068936057894,50
MILP+CostAwareBestFit,overload,3,94.97188758011868,0.3464613173808237,50
MILP+CostAwareBestFit,overload,4,94.6114781202409,0.42970014353855135,50
MILP+CostAwareBestFit,overload,5,94.71740903193714,0.3364250058617145,50
MILP+CostAwareBestFit,overload,6,94.44130111134835,0.37249131854281176,50
MILP+CostAwareBestFit,overload,7,95.32909898852688,0.4354998335264326,50
MILP+CostAwareBestFit,overload,8,94.73513291099374,0.3301262604136385,50
MILP+CostAwareBestFit,overload,9,94.41240369667943,0.38849582716869263,50
MILP+CostAwareBestFit,overload,10,526.2282168045779,5.425230077828971,50
MILP+CostAwareBestFit,underload,0,66.50994133907876,1.184109778885247,50
MILP+CostAwareBestFit,underload,1,68.0224679282871,1.6118558971008103,50
MILP+CostAwareBestFit,underload,2,65.72900766945858,1.7024626161198366,50
MILP+CostAwareBestFit,underload,3,63.61715456418093,1.52725447183753,50
MILP+CostAwareBestFit,underload,4,65.89755234501641,1.648896711624977,50
MILP+CostAwareBestFit,underload,5,62.97207206337494,1.3673912333749734,50
MILP+CostAwareBestFit,underload,6,63.97001662836806,1.7397396582943327,50
MILP+CostAwareBestFit,underload,7,64.73846863391555,1.7950165374694484,50
MILP+CostAwareBestFit,underload,8,67.63041201400881,1.6506962582251896,50
