pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,beta11_same_load,0,63.15461764966588,2.0016672931416437,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,1,61.77159019599844,1.8587302159655186,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,2,60.63414238833701,1.7429020036545793,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,3,60.352648992880994,1.915358446051389,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,4,63.55720724278558,1.8080901600637083,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,5,64.93306263074615,2.17572062844282,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,6,55.98582587169098,1.6487155671249338,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,7,65.09361489241752,2.1376119700645,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,8,60.4132188818095,2.1661937935709616,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,9,59.806954785979215,1.5774906804014681,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,beta11_same_load,0,64.07965315243092,1.9755140445739365,50
MILP(offSlack)+DynamicLearning,beta11_same_load,1,61.47466264594312,1.769528814183555,50
MILP(offSlack)+DynamicLearning,beta11_same_load,2,60.09954469955173,1.6214590951535948,50
MILP(offSlack)+DynamicLearning,beta11_same_load,3,60.47422022529753,1.603497285059892,50
MILP(offSlack)+DynamicLearning,beta11_same_load,4,64.63098797996658,1.8146770599814677,50
MILP(offSlack)+DynamicLearning,beta11_same_load,5,62.81806306262981,1.9523544599316982,50
MILP(offSlack)+DynamicLearning,beta11_same_load,6,57.229408664781104,1.6378427331138565,50
MILP(offSlack)+DynamicLearning,beta11_same_load,7,64.24328445169866,1.9584675748725917,50
MILP(offSlack)+DynamicLearning,beta11_same_load,8,60.67170510873418,1.8768428219923565,50
MILP(offSlack)+DynamicLearning,beta11_same_load,9,60.21457273194265,1.6694588680250058,50
MILP(offSlack)+DynamicLearning,beta11_same_load,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,beta11_same_load,0,63.15461764966587,2.0016672931416437,50
MILP(offSlack)+PrimalDual,beta11_same_load,1,61.77159019599844,1.8587302159655186,50
MILP(offSlack)+PrimalDual,beta11_same_load,2,60.63414238833701,1.7429020036545793,50
MILP(offSlack)+PrimalDual,beta11_same_load,3,60.352648992880994,1.9153584460513888,50
MILP(offSlack)+PrimalDual,beta11_same_load,4,63.55720724278558,1.8080901600637083,50
MILP(offSlack)+PrimalDual,beta11_same_load,5,64.93306263074615,2.1757206284428197,50
MILP(offSlack)+PrimalDual,beta11_same_load,6,55.98582587169098,1.6487155671249338,50
MILP(offSlack)+PrimalDual,beta11_same_load,7,65.09361489241752,2.1376119700644995,50
MILP(offSlack)+PrimalDual,beta11_same_load,8,60.4132188818095,2.1661937935709616,50
MILP(offSlack)+PrimalDual,beta11_same_load,9,59.806954785979215,1.5774906804014681,50
MILP(offSlack)+PrimalDual,beta11_same_load,10,0.0,0.0,50
MILP+CostAwareBestFit,beta11_same_load,0,62.97791048619206,1.985112816532704,50
MILP+CostAwareBestFit,beta11_same_load,1,61.45927453442209,1.8244822490074242,50
MILP+CostAwareBestFit,beta11_same_load,2,60.085601217134624,1.779502679922029,50
MILP+CostAwareBestFit,beta11_same_load,3,60.57854718065462,1.8924253682660408,50
MILP+CostAwareBestFit,beta11_same_load,4,63.52505998248657,1.8089889479703534,50
MILP+CostAwareBestFit,beta11_same_load,5,65.06869006645493,2.165187280605134,50
MILP+CostAwareBestFit,beta11_same_load,6,55.87219902517544,1.655307781585017,50
MILP+CostAwareBestFit,beta11_same_load,7,65.04523954555616,2.1378105814402497,50
MILP+CostAwareBestFit,beta11_same_load,8,60.37613710511171,2.162905322011964,50
MILP+CostAwareBestFit,beta11_same_load,9,59.553483492571765,1.5269247249500768,50
MILP+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
MILP+DynamicLearning,beta11_same_load,0,64.07965315243092,1.9755140445739365,50
MILP+DynamicLearning,beta11_same_load,1,61.47466264594312,1.769528814183555,50
MILP+DynamicLearning,beta11_same_load,2,60.09954469955173,1.6214590951535948,50
MILP+DynamicLearning,beta11_same_load,3,60.47422022529753,1.6034972850598923,50
MILP+DynamicLearning,beta11_same_load,4,64.63098797996658,1.8146770599814677,50
MILP+DynamicLearning,beta11_same_load,5,62.81806306262981,1.9523544599316982,50
MILP+DynamicLearning,beta11_same_load,6,57.229408664781104,1.6378427331138563,50
MILP+DynamicLearning,beta11_same_load,7,64.24328445169866,1.9584675748725917,50
MILP+DynamicLearning,beta11_same_load,8,60.67170510873418,1.8768428219923565,50
MILP+DynamicLearning,beta11_same_load,9,60.21457273194265,1.6694588680250058,50
MILP+DynamicLearning,beta11_same_load,10,0.0,0.0,50
MILP+PrimalDual,beta11_same_load,0,63.15461764966587,2.0016672931416437,50
MILP+PrimalDual,beta11_same_load,1,61.77159019599844,1.858730215965519,50
MILP+PrimalDual,beta11_same_load,2,60.63414238833701,1.7429020036545793,50
MILP+PrimalDual,beta11_same_load,3,60.352648992880994,1.9153584460513888,50
MILP+PrimalDual,beta11_same_load,4,63.55720724278558,1.8080901600637083,50
MILP+PrimalDual,beta11_same_load,5,64.93306263074615,2.17572062844282,50
MILP+PrimalDual,beta11_same_load,6,55.98582587169098,1.6487155671249338,50
MILP+PrimalDual,beta11_same_load,7,65.09361489241752,2.1376119700644995,50
