pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP(offSlack)+CostAwareBestFit,beta11_same_load,0,18.15357890515216,1.0867505128171562,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,1,17.428772089086998,1.0021185236949168,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,2,17.299394010867985,1.064296661682494,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,3,17.344377052696295,1.1170585965827504,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,4,18.152879022919446,1.0551773930331936,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,5,18.335302150789218,1.1942120182886415,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,6,15.813761934689778,0.8836126213858952,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,7,18.026853579743477,1.0428867705194556,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,8,16.88707401374862,1.0179414726704543,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,9,16.877226073288217,1.0056264362886504,50
MILP(offSlack)+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
MILP(offSlack)+DynamicLearning,beta11_same_load,0,18.15357890515216,1.0867505128171562,50
MILP(offSlack)+DynamicLearning,beta11_same_load,1,17.428772089086998,1.0021185236949168,50
MILP(offSlack)+DynamicLearning,beta11_same_load,2,17.299394010867985,1.064296661682494,50
MILP(offSlack)+DynamicLearning,beta11_same_load,3,17.344377052696295,1.1170585965827504,50
MILP(offSlack)+DynamicLearning,beta11_same_load,4,18.152879022919446,1.0551773930331936,50
MILP(offSlack)+DynamicLearning,beta11_same_load,5,18.335302150789218,1.1942120182886415,50
MILP(offSlack)+DynamicLearning,beta11_same_load,6,15.813761934689778,0.8836126213858954,50
MILP(offSlack)+DynamicLearning,beta11_same_load,7,18.026853579743477,1.0428867705194556,50
MILP(offSlack)+DynamicLearning,beta11_same_load,8,16.88707401374862,1.0179414726704543,50
MILP(offSlack)+DynamicLearning,beta11_same_load,9,16.877226073288217,1.0056264362886502,50
MILP(offSlack)+DynamicLearning,beta11_same_load,10,0.0,0.0,50
MILP(offSlack)+PrimalDual,beta11_same_load,0,18.15357890515216,1.0867505128171562,50
MILP(offSlack)+PrimalDual,beta11_same_load,1,17.428772089086998,1.0021185236949168,50
MILP(offSlack)+PrimalDual,beta11_same_load,2,17.299394010867985,1.0642966616824943,50
MILP(offSlack)+PrimalDual,beta11_same_load,3,17.3443770526963,1.1170585965827504,50
MILP(offSlack)+PrimalDual,beta11_same_load,4,18.152879022919446,1.0551773930331934,50
MILP(offSlack)+PrimalDual,beta11_same_load,5,18.335302150789218,1.1942120182886418,50
MILP(offSlack)+PrimalDual,beta11_same_load,6,15.813761934689778,0.8836126213858952,50
MILP(offSlack)+PrimalDual,beta11_same_load,7,18.026853579743477,1.0428867705194556,50
MILP(offSlack)+PrimalDual,beta11_same_load,8,16.88707401374862,1.0179414726704543,50
MILP(offSlack)+PrimalDual,beta11_same_load,9,16.877226073288217,1.0056264362886504,50
MILP(offSlack)+PrimalDual,beta11_same_load,10,0.0,0.0,50
MILP+CostAwareBestFit,beta11_same_load,0,17.776963188661597,1.0434919733083543,50
MILP+CostAwareBestFit,beta11_same_load,1,17.405742612035066,1.0040923499729957,50
MILP+CostAwareBestFit,beta11_same_load,2,17.352079566333103,1.0595933215854065,50
MILP+CostAwareBestFit,beta11_same_load,3,17.480048427455078,1.0956747882374493,50
MILP+CostAwareBestFit,beta11_same_load,4,18.366541752755662,1.0657490272219903,50
MILP+CostAwareBestFit,beta11_same_load,5,18.45467176566604,1.2075229789088995,50
MILP+CostAwareBestFit,beta11_same_load,6,15.782527266576023,0.8860807935143882,50
MILP+CostAwareBestFit,beta11_same_load,7,17.929982487483862,1.0450657059939834,50
MILP+CostAwareBestFit,beta11_same_load,8,16.622406372165962,0.9785742696064236,50
MILP+CostAwareBestFit,beta11_same_load,9,16.629954869111515,0.9776542643960693,50
MILP+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
MILP+DynamicLearning,beta11_same_load,0,18.153578905152163,1.0867505128171562,50
MILP+DynamicLearning,beta11_same_load,1,17.428772089086998,1.0021185236949168,50
MILP+DynamicLearning,beta11_same_load,2,17.299394010867985,1.064296661682494,50
MILP+DynamicLearning,beta11_same_load,3,17.3443770526963,1.1170585965827504,50
MILP+DynamicLearning,beta11_same_load,4,18.152879022919446,1.0551773930331934,50
MILP+DynamicLearning,beta11_same_load,5,18.335302150789218,1.1942120182886415,50
MILP+DynamicLearning,beta11_same_load,6,15.813761934689778,0.8836126213858952,50
MILP+DynamicLearning,beta11_same_load,7,18.026853579743477,1.0428867705194556,50
MILP+DynamicLearning,beta11_same_load,8,16.88707401374862,1.0179414726704543,50
MILP+DynamicLearning,beta11_same_load,9,16.877226073288217,1.0056264362886502,50
MILP+DynamicLearning,beta11_same_load,10,0.0,0.0,50
MILP+PrimalDual,beta11_same_load,0,18.15357890515216,1.0867505128171562,50
MILP+PrimalDual,beta11_same_load,1,17.428772089086998,1.0021185236949168,50
MILP+PrimalDual,beta11_same_load,2,17.299394010867985,1.064296661682494,50
MILP+PrimalDual,beta11_same_load,3,17.344377052696295,1.1170585965827504,50
MILP+PrimalDual,beta11_same_load,4,18.152879022919446,1.0551773930331934,50
MILP+PrimalDual,beta11_same_load,5,18.335302150789218,1.1942120182886418,50
MILP+PrimalDual,beta11_same_load,6,15.813761934689778,0.8836126213858952,50
MILP+PrimalDual,beta11_same_load,7,18.026853579743477,1.0428867705194556,50
MILP+PrimalDual,beta11_same_load,8,16.88707401374862,1.0179414726704543,50
MILP+PrimalDual,beta11_same_load,9,16.877226073288217,1.0056264362886504,50
MILP+PrimalDual,beta11_same_load,10,0.0,0.0,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,0,17.559584876171215,0.8165138982421021,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,1,17.632166457177576,0.8956859702196033,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,2,17.137453058315046,0.8269331400272134,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,3,17.793891407943295,0.8452596939926109,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,4,17.680911914207215,0.8260738842637295,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,5,18.3238662233954,0.8820009941785385,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,6,16.05856995125624,0.6929794857618313,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,7,17.874762425404775,0.8516744865465484,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,8,16.955032515673505,0.7962543847116819,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,9,16.7473079242208,0.6594380307518287,50
UtilizationPriced+CostAwareBestFit,beta11_same_load,10,0.0,0.0,50
UtilizationPriced+PrimalDual,beta11_same_load,0,17.778783195695432,0.8533329118854499,50
UtilizationPriced+PrimalDual,beta11_same_load,1,17.65507357613401,0.8933676171908704,50
