pipeline,variant,bin_idx,used_mean,used_sem,samples
MILP+CostAwareBestFit,highvar,0,89.39369567382535,1.5237928783839845,50
MILP+CostAwareBestFit,highvar,1,90.12453903755602,1.5079445272867646,50
MILP+CostAwareBestFit,highvar,2,88.91213508270856,1.5766975550017588,50
MILP+CostAwareBestFit,highvar,3,89.38647449272771,1.4399869876480818,50
MILP+CostAwareBestFit,highvar,4,89.80469763060256,1.2785260429506458,50
MILP+CostAwareBestFit,highvar,5,88.69818395172766,1.4544805860056464,50
MILP+CostAwareBestFit,highvar,6,90.56360579890632,1.2938070096401388,50
MILP+CostAwareBestFit,highvar,7,90.89807386792332,1.5452841985833148,50
MILP+CostAwareBestFit,highvar,8,89.29965359080252,1.5702905804131306,50
MILP+CostAwareBestFit,highvar,9,91.08932273004703,1.4983257574576874,50
MILP+CostAwareBestFit,highvar,10,0.0,0.0,50
MILP+CostAwareBestFit,lowvar,0,87.91603776453329,1.8183033492488752,50
MILP+CostAwareBestFit,lowvar,1,88.67184822167079,1.4034329405193229,50
MILP+CostAwareBestFit,lowvar,2,88.7516114802001,1.6378547387777274,50
MILP+CostAwareBestFit,lowvar,3,90.89686731239848,1.2174106338500734,50
MILP+CostAwareBestFit,lowvar,4,90.76095648391285,1.3657122910801753,50
MILP+CostAwareBestFit,lowvar,5,88.44032909541639,1.4382793507165015,50
MILP+CostAwareBestFit,lowvar,6,89.49616084896783,1.4618107552673014,50
MILP+CostAwareBestFit,lowvar,7,91.25315855011212,1.5740011795235587,50
MILP+CostAwareBestFit,lowvar,8,91.59337940338101,1.3031669399804902,50
MILP+CostAwareBestFit,lowvar,9,92.10372073562931,1.2086120050957077,50
MILP+CostAwareBestFit,lowvar,10,0.0,0.0,50
MILP+PrimalDual,highvar,0,91.08767268298979,1.5159278432893395,50
MILP+PrimalDual,highvar,1,89.84268424062022,1.6526477540658304,50
MILP+PrimalDual,highvar,2,88.18966175507991,1.78188374658069,50
MILP+PrimalDual,highvar,3,88.04461947298725,1.6985804663563302,50
