family,variant,pipeline,offline_failure_rate,online_failure_rate
baseline_ab,baseline_A,BFD+BestFit,0.0,0.0
baseline_ab,baseline_A,BFD+NextFit,0.0,1.0
baseline_ab,baseline_A,CostAwareBFD+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_A,FFD+BestFit,0.0,0.0
baseline_ab,baseline_A,FFD+NextFit,0.0,1.0
baseline_ab,baseline_A,MILP(BFD-warm)+BestFit,0.0,0.0
baseline_ab,baseline_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_A,MILP+BalancedPrice,0.0,0.0
baseline_ab,baseline_A,MILP+BestFit,0.0,0.0
baseline_ab,baseline_A,MILP+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_A,MILP+NextFit,0.0,1.0
baseline_ab,baseline_B,BFD+BestFit,0.0,0.0
baseline_ab,baseline_B,BFD+NextFit,0.0,1.0
baseline_ab,baseline_B,CostAwareBFD+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_B,FFD+BestFit,0.0,0.0
baseline_ab,baseline_B,FFD+NextFit,0.0,1.0
baseline_ab,baseline_B,MILP(BFD-warm)+BestFit,0.0,0.0
baseline_ab,baseline_B,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_B,MILP+BalancedPrice,0.0,0.0
baseline_ab,baseline_B,MILP+BestFit,0.0,0.0
baseline_ab,baseline_B,MILP+CostAwareBestFit,0.0,0.0
baseline_ab,baseline_B,MILP+NextFit,0.0,1.0
capacity_regimes,slack_A,BFD+BestFit,0.0,0.0
capacity_regimes,slack_A,BFD+NextFit,0.0,1.0
capacity_regimes,slack_A,CostAwareBFD+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_A,FFD+BestFit,0.0,0.0
capacity_regimes,slack_A,FFD+NextFit,0.0,1.0
capacity_regimes,slack_A,MILP(BFD-warm)+BestFit,0.0,0.0
capacity_regimes,slack_A,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_A,MILP+BalancedPrice,0.0,0.0
capacity_regimes,slack_A,MILP+BestFit,0.0,0.0
capacity_regimes,slack_A,MILP+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_A,MILP+NextFit,0.0,1.0
capacity_regimes,slack_B,BFD+BestFit,0.0,0.0
capacity_regimes,slack_B,BFD+NextFit,0.0,1.0
capacity_regimes,slack_B,CostAwareBFD+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_B,FFD+BestFit,0.0,0.0
capacity_regimes,slack_B,FFD+NextFit,0.0,1.0
capacity_regimes,slack_B,MILP(BFD-warm)+BestFit,0.0,0.0
capacity_regimes,slack_B,MILP(BFD-warm)+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_B,MILP+BalancedPrice,0.0,0.0
capacity_regimes,slack_B,MILP+BestFit,0.0,0.0
capacity_regimes,slack_B,MILP+CostAwareBestFit,0.0,0.0
capacity_regimes,slack_B,MILP+NextFit,0.0,1.0
capacity_regimes,tight_A,BFD+BestFit,0.0,0.0
capacity_regimes,tight_A,BFD+NextFit,0.0,1.0
