family,variant,pipeline,total_objective_mean,total_objective_ci95
baseline_ab,baseline_A,BFD+BestFit,899.0652706120469,7.45458823260426
baseline_ab,baseline_A,BFD+NextFit,401.3793110956438,20.561967983693496
baseline_ab,baseline_A,CostAwareBFD+CostAwareBestFit,387.2699158825093,3.9123994363898085
baseline_ab,baseline_A,FFD+BestFit,898.4952327589789,8.750975566310807
baseline_ab,baseline_A,FFD+NextFit,484.2631295165988,29.03527883835229
baseline_ab,baseline_A,MILP(BFD-warm)+BestFit,783.7952306115866,8.264423688931789
baseline_ab,baseline_A,MILP(BFD-warm)+CostAwareBestFit,385.20829137679,3.5805761847647646
baseline_ab,baseline_A,MILP+BalancedPrice,384.72581695957103,3.1281838257364485
baseline_ab,baseline_A,MILP+BestFit,783.7952306115866,8.264423688931789
baseline_ab,baseline_A,MILP+CostAwareBestFit,385.20829137679,3.5805761847647646
baseline_ab,baseline_A,MILP+NextFit,256.74406066025284,22.051765472663945
baseline_ab,baseline_B,BFD+BestFit,895.9026322806188,10.429576923638514
baseline_ab,baseline_B,BFD+NextFit,350.0639113471345,21.708274408134493
baseline_ab,baseline_B,CostAwareBFD+CostAwareBestFit,373.35320119936284,2.394652720901532
baseline_ab,baseline_B,FFD+BestFit,895.3399246740522,8.483101523101471
baseline_ab,baseline_B,FFD+NextFit,526.2994251486384,46.17848392515346
baseline_ab,baseline_B,MILP(BFD-warm)+BestFit,781.3387939275271,6.593883765417184
baseline_ab,baseline_B,MILP(BFD-warm)+CostAwareBestFit,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+BalancedPrice,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+BestFit,781.3387939275271,6.593883765417184
baseline_ab,baseline_B,MILP+CostAwareBestFit,373.2667134574139,2.431353646758814
baseline_ab,baseline_B,MILP+NextFit,222.38884106122072,14.276567838302373
capacity_regimes,slack_A,BFD+BestFit,895.1908235424013,9.942801548706118
capacity_regimes,slack_A,BFD+NextFit,419.3552250250595,28.73335251180948
capacity_regimes,slack_A,CostAwareBFD+CostAwareBestFit,372.4996635108995,2.273295567043601
capacity_regimes,slack_A,FFD+BestFit,894.34893448731,9.063029890308396
capacity_regimes,slack_A,FFD+NextFit,490.1146758667083,31.1715616397194
capacity_regimes,slack_A,MILP(BFD-warm)+BestFit,787.5270221535017,7.72099829742893
capacity_regimes,slack_A,MILP(BFD-warm)+CostAwareBestFit,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+BalancedPrice,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+BestFit,787.5270221535017,7.72099829742893
capacity_regimes,slack_A,MILP+CostAwareBestFit,371.5879189600007,2.295320946931513
capacity_regimes,slack_A,MILP+NextFit,288.58190716828983,24.558381501318777
capacity_regimes,slack_B,BFD+BestFit,905.9257021362341,10.294068026598305
capacity_regimes,slack_B,BFD+NextFit,365.41926093074926,21.10562216107897
capacity_regimes,slack_B,CostAwareBFD+CostAwareBestFit,365.44104367652113,1.6412042317777773
capacity_regimes,slack_B,FFD+BestFit,891.9411223216842,9.631472914832354
capacity_regimes,slack_B,FFD+NextFit,556.3954123125828,51.36785548552271
capacity_regimes,slack_B,MILP(BFD-warm)+BestFit,784.7552649204882,7.628983977376616
capacity_regimes,slack_B,MILP(BFD-warm)+CostAwareBestFit,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+BalancedPrice,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+BestFit,784.7552649204882,7.628983977376616
capacity_regimes,slack_B,MILP+CostAwareBestFit,365.35448128087694,1.6698052551096487
capacity_regimes,slack_B,MILP+NextFit,246.17098230693452,14.80302683624656
capacity_regimes,tight_A,BFD+BestFit,3967619.6131677,908621.1429321633
capacity_regimes,tight_A,BFD+NextFit,369.0616854625026,19.51445688861721
capacity_regimes,tight_A,CostAwareBFD+CostAwareBestFit,5233868.732295092,1149756.4700879215
capacity_regimes,tight_A,FFD+BestFit,3967609.5233956226,908623.4037134164
capacity_regimes,tight_A,FFD+NextFit,427.3726876936942,24.67685977860523
